,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300724,捷佳伟创,0.31,6.9,,7.72,,7499.9,8.7,,07-23
1,601869,长飞光纤,0.55,71.88,8.19,6.86,-0.39,37206.63,68.21,,07-19
2,603657,春光科技,0.15,0.0,,3.1,,1082.9,1.14,,07-10
3,000693,*ST华泽,-0.0,-97.22,,,,-107.43,-97.36,,06-29
4,000939,*ST凯迪,-0.07,-240.0,,-3.04,,-28370.99,-368.73,,06-29
5,002932,明德生物,0.27,,,5.51,,1362.27,,,06-27
6,600399,*ST抚钢,-0.02,-182.64,,,,-2194.45,-169.75,,06-26
7,603713,密尔克卫,0.29,130.65,,,,3313.11,130.66,,06-25
8,000409,*ST地矿,-0.16,166.67,,-12.12,,-8139.96,180.95,,06-22
9,603105,芯能科技,0.03,-200.0,,,,1087.8,-178.76,,06-19
10,601066,中信建投,0.14,0.0,,,,98981.96,-1.55,,06-19
11,603693,江苏新能,0.21,5.0,,3.1,,10338.01,3.16,,06-12
12,300216,千山药机,-0.22,-466.67,,-4.02,,-7792.78,-445.75,,06-09
13,601330,绿色动力,0.05,-16.67,2.19,2.53,-0.05,5715.59,-1.17,,06-08
14,601138,工业富联,0.15,,,,,265322.5,4.53,,06-07
15,603587,地素时尚,0.43,2.38,,10.2,,14717.29,1.96,,06-04
16,603666,亿嘉和,0.65,-435.94,,,,3414.25,-436.02,,05-29
17,300750,宁德时代,0.21,-1221.69,,1.66,,41334.72,-3636.53,,05-22
18,603045,福达合金,0.07,16.75,,1.08,-3.95,544.55,16.68,,05-16
19,603013,亚普股份,0.16,77.78,4.82,3.37,0.33,7208.26,83.6,,05-08
20,300746,汉嘉设计,0.07,40.0,,1.96,,1182.1,60.82,,05-08
21,603259,药明康德,0.31,-13.89,7.1,4.51,-0.03,29065.76,-13.72,,05-07
22,300742,越博动力,-0.17,21.43,11.53,-1.46,-0.73,-996.4,24.78,,05-07
23,600175,美都能源,0.01,42.11,,0.45,,4821.69,42.08,,05-03
24,600680,*ST上普,-0.05,-3.7,,-5.57,,-1978.56,-3.36,,05-03
25,300745,欣锐科技,0.33,,,3.94,,2813.79,,,05-03
26,600355,精伦电子,-0.01,-21.88,,-1.38,,-478.25,-23.99,,04-28
27,000548,湖南投资,0.01,20.0,,0.19,,312.83,23.26,,04-28
28,600741,华域汽车,0.92,90.31,,6.84,,291131.98,90.45,,04-28
29,001696,宗申动力,0.05,-23.2,,1.58,,5990.57,-23.13,,04-28
30,601800,中国交建,0.21,10.53,,2.06,,343416.4,9.35,,04-28
31,603655,朗博科技,0.12,33.33,,2.71,,1268.48,68.97,,04-28
32,002639,雪人股份,0.0,57.89,,0.09,,199.95,52.48,,04-28
33,000567,海德股份,0.15,23.67,,7.48,,2291.29,23.73,,04-28
34,000592,平潭发展,-0.0,-60.61,,-0.16,,-500.22,-61.05,,04-28
35,601952,苏垦农发,0.14,-17.65,,2.72,,14339.45,4.47,,04-28
36,600036,招商银行,0.9,13.92,18.32,4.99,-2.13,2267400.0,13.5,,04-28
37,600061,国投资本,0.12,-20.0,,1.37,,50116.97,-11.61,,04-28
38,002366,台海核电,0.21,-43.24,,6.49,,18378.83,13.67,,04-28
39,002061,浙江交科,0.23,139.58,,5.37,,29821.14,461.31,,04-28
40,600078,澄星股份,0.0,-77.14,,0.14,,270.25,-76.72,,04-28
41,600468,百利电气,0.02,-32.12,,0.91,,1661.21,1.86,,04-28
42,002398,建研集团,0.14,55.56,,2.05,,4725.29,53.33,,04-28
43,002093,国脉科技,0.06,34.32,,2.11,,6390.67,34.39,,04-28
44,600113,浙江东日,0.05,25.0,,2.57,,1725.51,21.93,,04-28
45,600508,上海能源,0.47,104.35,,3.72,,34055.88,105.05,,04-28
46,603890,春秋电子,0.07,-76.67,,0.76,,1013.18,-66.99,,04-28
47,600883,博闻科技,0.01,-94.92,,0.3,,195.19,-94.94,,04-28
48,600151,航天机电,-0.09,7.08,,-2.38,,-13457.36,7.17,,04-28
49,002446,盛路通信,0.08,-38.46,,2.35,,6016.88,3.83,,04-28
