,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,294.9745,0.3418,13065.0536,0.3759,38.6555
1,000036,华联控股,16.1336,0.2411,4.9108,0.3563,46.3493
2,000968,蓝焰控股,4.3869,0.225,,0.2207,36.0251
3,000011,深物业A,3.9664,0.316,,0.4564,47.0259
4,000548,湖南投资,2.9957,0.1866,8.2504,0.5661,56.7947
5,600052,浙江广厦,2.7429,0.2319,2.7847,0.3852,38.5699
6,002016,世荣兆业,2.0469,0.3126,25.2014,0.4126,42.1868
7,600325,华发股份,2.0086,0.131,25.4897,0.1604,38.4912
8,300293,蓝英装备,1.9739,0.3286,200.6146,1.2663,140.078
9,600503,华丽家族,1.9073,0.1651,8.847,0.4002,40.0227
10,600275,ST昌鱼,1.778,0.0392,,0.0747,7.5067
11,000779,三毛派神,1.6952,0.3266,,0.3964,54.2415
12,600683,京投发展,1.6782,0.0847,15.5739,0.0934,18.2657
13,600643,爱建集团,1.6348,0.0477,1.2299,0.0997,15.5527
14,000301,东方市场,1.4263,0.1677,5.4004,0.563,80.2182
15,600026,中远海能,1.3908,0.2583,6.6297,0.4823,138.5042
16,000831,五矿稀土,1.381,0.0583,,1.9082,207.5689
17,000006,深振业A,1.3239,0.1087,12.6637,0.1596,28.989
18,600193,*ST创兴,1.3095,0.1153,17.0351,0.7564,75.6372
19,600519,贵州茅台,1.2217,0.3094,2.4407,0.9608,96.1248
20,600641,万业企业,1.1879,0.2657,8.9378,0.5513,55.311
21,600371,万向德农,1.1591,0.2658,6.779,0.558,60.6541
22,000402,金融街,1.1473,0.0862,12.4977,0.116,28.3695
23,600622,光大嘉宝,1.0905,0.1232,9.0451,0.2204,26.1514
24,000667,美好置业,1.0477,0.1527,9.1287,0.2321,33.3163
25,002039,黔源电力,1.0132,0.0971,5.0206,0.1283,191.6861
26,600173,卧龙地产,0.9916,0.2085,14.2515,0.3463,45.9461
27,000517,荣安地产,0.9828,0.0801,35.5735,0.1315,18.392
