,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603619,中曼石油,0.5,35.14,,18.51,,18036.59,34.55,,11-16
1,603183,建研院,0.37,,,8.47,,2430.69,,,09-04
2,603359,东珠生态,0.53,29.27,,8.16,1.24,8836.65,38.14,,08-31
3,002880,卫光生物,0.93,12.05,,17.67,,7498.95,10.89,,08-31
4,601619,嘉泽新能,0.03,,,2.25,,4395.88,,,08-31
5,603357,设计总院,0.48,50.0,,17.94,,11725.53,55.93,,08-31
6,603042,华脉科技,0.38,,,9.75,,3852.55,,,08-31
7,300676,华大基因,0.41,70.83,,4.76,,14917.12,97.17,,08-30
8,603767,中马传动,0.3,-43.4,,6.12,,4754.71,-18.87,,08-30
9,603229,奥翔药业,0.17,,,10.18,,2016.9,,,08-30
10,603878,武进不锈,0.32,,,4.24,,4837.92,,,08-30
11,603387,基蛋生物,0.64,,,21.84,,6287.7,,,08-30
12,603043,广州酒家,0.08,,,3.53,,2856.72,,,08-30
13,603533,掌阅科技,,,,,,2051.71,,,08-30
14,002889,东方嘉盛,0.49,28.95,,7.2,,5079.73,34.91,,08-30
15,300682,朗新科技,-0.15,,,-7.95,,-5461.8,,,08-30
16,300670,大烨智能,0.22,-43.22,,8.88,,1793.34,-29.24,,08-29
17,002888,惠威科技,0.21,,,5.81,,1324.86,,,08-29
18,300640,德艺文创,0.27,,,16.18,,1637.73,,,08-29
19,300663,科蓝软件,-0.34,-26.09,,-9.13,,-3334.99,-26.59,,08-29
20,300681,英搏尔,0.43,,,11.32,,2418.96,,,08-29
21,300647,超频三,0.25,,,9.89,,2261.43,,,08-29
22,300687,赛意信息,0.49,,,14.69,,2914.91,,,08-29
23,603628,清源股份,0.05,,,1.9,,930.53,,,08-29
24,603708,家家悦,0.47,,,12.38,,12604.21,,,08-29
25,603978,深圳新星,1.09,,,11.63,,6543.04,,,08-29
26,300675,建科院,-0.02,,,-0.97,,-250.89,,,08-29
27,603730,岱美股份,0.58,,,16.49,,20896.08,,,08-29
28,603797,联泰环保,0.17,,,4.24,,2744.32,,,08-29
29,603458,勘设股份,0.73,180.77,,9.41,,6768.12,180.72,,08-29
30,603825,华扬联众,0.01,-91.67,,0.15,,92.7,-91.15,,08-29
31,300685,艾德生物,0.56,180.0,,12.99,,3347.05,172.51,,08-29
32,603316,诚邦股份,0.17,,,6.98,,2644.05,,,08-29
33,300690,双一科技,0.91,-20.87,,13.86,,4746.77,-20.93,,08-29
34,603197,保隆科技,0.78,,,13.06,,6891.66,,,08-29
35,300671,富满电子,0.18,,,5.79,,1371.36,,,08-29
36,603233,大参林,0.6,-10.45,,20.47,,21705.15,14.43,,08-29
37,603383,顶点软件,0.31,-15.62,,4.86,,1971.1,-11.27,,08-29
38,603833,欧派家居,0.83,,,14.87,,31037.31,,,08-29
39,300648,星云股份,0.27,28.57,,7.52,,1348.27,32.28,,08-29
40,300658,延江股份,0.67,131.03,,25.72,,5044.27,130.82,,08-28
41,300669,沪宁股份,0.28,,,9.39,,1751.94,,,08-28
42,300652,雷迪克,0.45,2.27,,12.79,,2953.4,1.36,,08-28
43,603938,三孚股份,0.36,-14.29,,7.52,,4012.94,-14.72,,08-28
44,002887,绿茵生态,1.38,112.31,,13.8,,8294.8,124.58,,08-28
45,603326,我乐家居,0.01,-90.33,,0.29,,69.08,-90.28,,08-28
46,603335,迪生力,0.18,,,10.89,,3352.59,,,08-28
47,300655,晶瑞股份,0.21,-11.8,,5.17,,1379.9,-11.8,,08-28
48,002856,美芝股份,0.35,,,8.74,,2631.38,,,08-28
49,603331,百达精工,0.28,,,8.54,,2675.39,,,08-28
50,300659,中孚信息,0.07,,,3.58,,435.95,,,08-28
51,300665,飞鹿股份,0.14,,,3.78,,821.22,,,08-28
52,300662,科锐国际,0.2,-16.67,,10.35,,2737.22,-14.84,,08-26
53,603050,科林电气,0.1,,,1.73,,988.98,,,08-26
54,603063,禾望电气,0.31,,,9.2,,11160.39,,,08-26
55,603517,绝味食品,0.51,,,14.47,,18197.27,,,08-25
56,603320,迪贝电气,0.29,,,7.24,,2205.49,,,08-25
57,603232,格尔软件,0.06,,,1.18,,290.6,,,08-25
58,300554,三超新材,0.35,-25.45,,6.21,,1366.43,-25.04,,08-25
59,300680,隆盛科技,0.29,-14.71,,8.0,,1489.02,-14.83,,08-25
60,603081,大丰实业,0.27,,,12.62,,9398.0,,,08-25
61,300686,智动力,0.26,,,8.24,,2394.07,,,08-25
62,002881,美格智能,0.18,,,7.5,,1414.47,,,08-25
63,300651,金陵体育,0.22,-18.52,,3.68,,1265.03,-18.07,,08-25
64,002886,沃特股份,0.27,,,5.12,,1583.67,,,08-25
65,300638,广和通,0.2,,,10.64,,1205.32,,,08-25
